ID,Product,USD,USD REAL,Bs,Image,Collection,Description,Category,Stock,Discount,SKU,,BCV fijo,Paralelo fijo,BCV diario
4,Classic Orb Vivienne Westwood⟡ ݁₊ ., $ 10.50 , $ 8.00 ,"$1,946.60",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470415/indigo/004.png,"Vivienne Westwood, Nana, Anime",Material: Aleación de Zinc ♡,Collares,0,20,CL-COLL-0004,,109.77,143.75,185.39
5,Pearl Choker Vivienne Westwood ۶ৎ, $ 9.00 , $ 6.90 ,"$1,668.51",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470416/indigo/005.png,"Vivienne Westwood, Nana",Material: Imitación de perlas; Aleación de Zinc ⋆౨ৎ˚⟡˖ ࣪,Collares,8,,PE-COLL-0005,,,,
6,Vivienne Westwood Three Row Pearl Necklace, $ 12.00 , $ 9.00 ,"$2,224.68",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470416/indigo/006.png,"Vivienne Westwood, Nana",Material: Imitación de perlas; Aleación de Zinc ⋆౨ৎ˚⟡˖ ࣪,Collares,0,,VI-COLL-0006,,,,
7,Armour Ring Vivienne Westwood, $ 8.00 , $ 6.00 ,"$1,483.12",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470417/indigo/007.png,"Vivienne Westwood, Nana, Anime","-Material: Aleación de Zinc ♡               
-Solo disponible en negro 🍡     
-Talla: Ajustable ♡",Anillos,0,,AR-ANIL-0007,,,,
7.1,Plateado,,,,,,,,0,,,,,,
7.2,Negro,,,,,,,,0,,,,,,
8,Vivienne Westwood Bat Orb‎𖤐, $ 9.00 ,$6.90,"$1,668.51",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470418/indigo/008.png,"Vivienne Westwood, Nana",Material: Aleación de Zinc ♡,Collares,12,,VI-COLL-0008,,,,
9,Collar Blue Orb Vivienne Westwood, $ 10.00 ,$7.70,"$1,853.90",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470419/indigo/009.png,"Vivienne Westwood, Nana",Material: Aleación de Zinc ♡,Collares,31,,CO-COLL-0009,,,,
11,Zarcillos Vivienne Westwood, $ 12.00 ,$9.00,"$2,224.68",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470420/indigo/011.png,"Vivienne Westwood, Nana",Material: Acero inoxidableᯓ★,Zarcillos,1,,ZA-ZARC-0011,,,,
12,Collar Pink Orb Vivienne Westwood, $ 20.00 ,$15.00,"$3,707.80",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470420/indigo/012.png,"Vivienne Westwood, Nana",Material: Acero inoxidableᯓ★,Collares,2,,CO-COLL-0012,,,,
13,Aretes Vivienne Westwood, $ 7.00 ,$5.00,"$1,297.73",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470422/indigo/013.png,"Vivienne Westwood, Nana",Material: Acero inoxidableᯓ★,Zarcillos,9,,AR-ZARC-0013,,,,
14,Anillo Vivienne Westwood💫, $ 7.00 ,$5.00,"$1,297.73",https://res.cloudinary.com/dzffp7mpf/image/upload/v1752470423/indigo/014.png,"Vivienne Westwood, Nana",Material: Aleación de Zinc ♡,Anillos,0,,AN-ANIL-0014,,,,
