State,Office
Amazonas,0200000 - Puerto Ayacucho
Anzoátegui,0300000 - Barcelona
Anzoátegui,0301000 - Anaco
Anzoátegui,0302000 - El Tigre
Anzoátegui,0308000 - Pariaguan
Anzoátegui,0309000 - Pto La Cruz
Anzoátegui,0310000 - Nueva Barcelona
Anzoátegui,0311000 - Clarines
Anzoátegui,0312000 - Lecheria
Anzoátegui,0313000 - El Tigre Centro
Anzoátegui,0307000 - El Tigrito
Apure,0401000 - Guasdualito
Apure,0402000 - San Fernando Centro
Apure,0400000 - San Fernando
Aragua,0501000 - Maracay Zona Ind.
Aragua,0503000 - La Victoria
Aragua,0504000 - Maracay 5 De Julio
Aragua,0506000 - Turmero
Aragua,0507000 - Villa De Cura
Aragua,0509000 - S.Sebastian D Los Reyes
Aragua,0510000 - Maracay La Democracia
Aragua,0511000 - Turmero Zona Industrial
Aragua,0512000 - La Encrucijada
Aragua,0513000 - Maracay Base Aragua
Aragua,0516000 - Maracay Santa Rosa
Aragua,0517000 - Maracay La Romana
Aragua,0511100 - Maracay Santa Rita
Aragua,0518000 - Los Cedros
Barinas,0600000 - Barinas
Barinas,0601000 - Socopo
Barinas,0602000 - Barinas Zona Ind.
Barinas,0603000 - Sta Barbara De Barinas
Barinas,0604000 - Barinas Sabaneta
Barinas,0605000 - Alto Barinas
Barinas,0605100 - Forum
Barinas,0606000 - Barinas 23 De Enero
Barinas,0600100 - Av Sucre Barinas
Bolívar,0700000 - Ciudad Bolivar
Bolívar,0701000 - Alta Vista
Bolívar,0704000 - Santa Elena De Uairen
Bolívar,0708000 - Cdad Bolivar Zona Ind.
Bolívar,0709000 - Av Las Americas
Bolívar,0702000 - Caicara Del Orinoco
Carabobo,0800000 - Valencia Centro
Carabobo,0801000 - Valencia Big Low
Carabobo,0802000 - Guacara
Carabobo,0802100 - Alianza Mall
Carabobo,0802500 - Los Guayos Zona Ind.
Carabobo,0803000 - Puerto Cabello
Carabobo,0803500 - Moron
Carabobo,0804000 - Flor Amarillo
Carabobo,0805000 - Valencia El Trigal
Carabobo,0806000 - Naguanagua
Carabobo,0808000 - Valencia Sur
Carabobo,0809000 - Bejuma
Carabobo,0810000 - Valencia La Candelaria
Carabobo,0810100 - Av. Las Ferias
Carabobo,0811000 - Valencia Zona Ind.
Carabobo,0812000 - La Isabelica
Carabobo,0814000 - Valencia El Parral
Carabobo,0815000 - Valencia San Diego
Carabobo,0815100 - La Esmeralda San Diego
Carabobo,0816000 - Valencia Norte
Carabobo,0818000 - San Diego Terrazas De Castillito
Carabobo,0820000 - Valencia GobernacióN
Carabobo,0823000 - Valencia Av. Lara
Carabobo,0826000 - Paraparal
Carabobo,0817000 - Bolivar Sur
Cojedes,0900000 - San Carlos
Cojedes,0901000 - Tinaquillo
Delta Amacuro,1000000 - Tucupita
Distrito Capital,0101000 - Los Caobos
Distrito Capital,0102000 - Bello Monte
Distrito Capital,0103000 - El Llanito
Distrito Capital,0103100 - Plaza Las Americas
Distrito Capital,0104000 - Centro
